"Links","ResponseCode"
"https://www.trendyol.com/sateen---kadin-tekstil/butikdetay/546218","HTTP/1.1 200 OK"
"https://www.trendyol.com/m-a-c-cosmetics/butikdetay/545622","HTTP/1.1 200 OK"
"https://www.trendyol.com/tangle-teezer/butikdetay/545769","HTTP/1.1 200 OK"
"https://www.trendyol.com/defacto---yilin-son-firsatlari/butikdetay/545414","HTTP/1.1 200 OK"
"https://www.trendyol.com/yatas-bedding/butikdetay/545915","HTTP/1.1 200 OK"
"https://www.trendyol.com/tum--urunler?butik=546788,546787,546786,546759,546762,546758,546757,546735,546049","HTTP/1.1 200 OK"
"https://www.trendyol.com/milli-piyango-yilbasi-bileti-kuponu/butikdetay/546865","HTTP/1.1 200 OK"
"https://www.trendyol.com/calisma-alanlarinizi-guzellestirin/butikdetay/547228","HTTP/1.1 200 OK"
"https://www.trendyol.com/sr?q=hotic%20yaya%20by%20hotic&qt=hoti%C3%A7%20yaya%20by%20hoti%C3%A7&st=hoti%C3%A7%20yaya%20by%20hoti%C3%A7&os=1","HTTP/1.1 200 OK"
"https://www.trendyol.com/sizin-icin-sectik/butikdetay/545592","HTTP/1.1 200 OK"
"https://www.trendyol.com/lacoste---sonbahar--kis-koleksiyonu/butikdetay/546872","HTTP/1.1 200 OK"
"https://www.trendyol.com/kirmizi-kedi-yilin-son-firsatlari/butikdetay/546650","HTTP/1.1 200 OK"
"https://www.trendyol.com/l-oreal-paris--maybelline-new-york--garnier--nyx-professional-makeup/butikdetay/545460","HTTP/1.1 200 OK"
"https://www.trendyol.com/tum--urunler?butik=545831,545836,546785","HTTP/1.1 200 OK"
"https://www.trendyol.com/missha/butikdetay/545948","HTTP/1.1 200 OK"
"https://www.trendyol.com/la-roche-posay--vichy--cerave/butikdetay/545772","HTTP/1.1 200 OK"
"https://www.trendyol.com/sr?fl=kampanyanin_en_iyi_sneakerlari","HTTP/1.1 200 OK"
"https://www.trendyol.com/siyah-inci---pijama--ic-giyim/butikdetay/545614","HTTP/1.1 200 OK"
"https://www.trendyol.com/prima-yilin-son-firsati/butikdetay/545703","HTTP/1.1 200 OK"
"https://www.trendyol.com/kadin?butik=546753,546750,546749,546722,546723,546724,546725","HTTP/1.1 200 OK"
"https://www.trendyol.com/lezzetli-mutfak-ta-super-firsat/butikdetay/545597","HTTP/1.1 200 OK"
"https://www.trendyol.com/suwen---ev-giyim--ic-giyim/butikdetay/545623","HTTP/1.1 200 OK"
"https://www.trendyol.com/tum--urunler?butik=545898,545909","HTTP/1.1 200 OK"
"https://www.trendyol.com/pull--bear---kadin--erkek/butikdetay/543516","HTTP/1.1 200 OK"
"https://www.trendyol.com/new-essentials/butikdetay/545822","HTTP/1.1 200 OK"
"https://www.trendyol.com/ccity---ev-giyim--ic-giyim--mayo/butikdetay/545648","HTTP/1.1 200 OK"
"https://www.trendyol.com/selin-beauty/butikdetay/545699","HTTP/1.1 200 OK"
"https://www.trendyol.com/pg-ev-bakimda-yilin-son-firsatlari/butikdetay/546001","HTTP/1.1 200 OK"
"https://www.trendyol.com/ipekyol--twist---yeni-sezon/butikdetay/546884","HTTP/1.1 200 OK"
"https://www.trendyol.com/salon-mobilyasinin-vazgecilmezleri/butikdetay/547045","HTTP/1.1 200 OK"
"https://www.trendyol.com/elitol-premium--strawberry---pijama--ic-giyim/butikdetay/545633","HTTP/1.1 200 OK"
"https://www.trendyol.com/camper---kadin--erkek--cocuk-koleksiyonu-sepette-10-indirim/butikdetay/546736","HTTP/1.1 200 OK"
"https://www.trendyol.com/happy-center-da-yilin-son-firsatlari/butikdetay/545978","HTTP/1.1 200 OK"
"https://www.trendyol.com/defacto---kadin--erkek--cocuk-tekstil/butikdetay/546488","HTTP/1.1 200 OK"
"https://www.trendyol.com/luis-polo/butikdetay/547206","HTTP/1.1 200 OK"
"https://www.trendyol.com/aksesuarda-cok-satanlar/butikdetay/547226","HTTP/1.1 200 OK"
